Pais ,Liga ,Temporada ,Fecha,Hora,Local (A),Visitante (A),Goles Local,Goles Visit,Resultado
Mexico,Liga MX,2013/2014,26/10/2013,03:30,Club Tijuana,U.A.N.L.- Tigres,0,0,D
Mexico,Liga MX,2013/2014,26/10/2013,23:00,Club America,Puebla,3,1,H
Mexico,Liga MX,2013/2014,27/10/2013,01:00,Atlante,Santos Laguna,1,3,A
Mexico,Liga MX,2013/2014,27/10/2013,01:00,Monterrey,Chiapas,1,1,D
Mexico,Liga MX,2013/2014,27/10/2013,01:00,Pachuca,Cruz Azul,0,0,D
Mexico,Liga MX,2013/2014,27/10/2013,01:06,Club Leon,Toluca,2,2,D
Mexico,Liga MX,2013/2014,27/10/2013,02:00,Atlas,Queretaro,3,1,H
Mexico,Liga MX,2013/2014,27/10/2013,18:00,U.N.A.M.- Pumas,Veracruz,0,0,D
Mexico,Liga MX,2013/2014,30/10/2013,02:30,U.A.N.L.- Tigres,Club America,1,0,H
Mexico,Liga MX,2013/2014,31/10/2013,01:00,Guadalajara Chivas,Santos Laguna,0,2,A
Mexico,Liga MX,2013/2014,02/11/2013,01:30,Queretaro,Club America,0,0,D
Mexico,Liga MX,2013/2014,02/11/2013,02:30,Club Tijuana,Atlante,4,1,H
Mexico,Liga MX,2013/2014,02/11/2013,23:00,Cruz Azul,Monarcas,1,0,H
Mexico,Liga MX,2013/2014,02/11/2013,23:00,Veracruz,Monterrey,0,3,A
Mexico,Liga MX,2013/2014,03/11/2013,01:00,U.A.N.L.- Tigres,Club Leon,1,1,D
Mexico,Liga MX,2013/2014,03/11/2013,03:00,Chiapas,Santos Laguna,2,1,H
Mexico,Liga MX,2013/2014,03/11/2013,18:00,Puebla,Pachuca,1,1,D
Mexico,Liga MX,2013/2014,03/11/2013,18:00,Toluca,Atlas,1,1,D
Mexico,Liga MX,2013/2014,03/11/2013,23:00,Guadalajara Chivas,U.N.A.M.- Pumas,1,0,H
Mexico,Liga MX,2013/2014,09/11/2013,01:30,Monarcas,Puebla,1,0,H
Mexico,Liga MX,2013/2014,09/11/2013,03:30,Santos Laguna,Veracruz,2,2,D
Mexico,Liga MX,2013/2014,09/11/2013,23:00,Club America,Toluca,1,1,D
Mexico,Liga MX,2013/2014,10/11/2013,01:00,Atlante,Chiapas,2,0,H
Mexico,Liga MX,2013/2014,10/11/2013,01:00,Monterrey,Guadalajara Chivas,2,1,H
Mexico,Liga MX,2013/2014,10/11/2013,01:00,Pachuca,Queretaro,0,1,A
Mexico,Liga MX,2013/2014,10/11/2013,02:06,Club Leon,Club Tijuana,5,0,H
Mexico,Liga MX,2013/2014,10/11/2013,03:00,Atlas,U.A.N.L.- Tigres,0,1,A
Mexico,Liga MX,2013/2014,10/11/2013,18:00,U.N.A.M.- Pumas,Cruz Azul,2,2,D
Mexico,Liga MX,2013/2014,23/11/2013,23:00,Toluca,Cruz Azul,3,0,H
Mexico,Liga MX,2013/2014,24/11/2013,01:00,Monarcas,Club Leon,3,3,D
Mexico,Liga MX,2013/2014,24/11/2013,23:00,U.A.N.L.- Tigres,Club America,2,2,D
Mexico,Liga MX,2013/2014,25/11/2013,02:00,Queretaro,Santos Laguna,2,3,A
Mexico,Liga MX,2013/2014,30/11/2013,23:00,Cruz Azul,Toluca,1,1,D
Mexico,Liga MX,2013/2014,01/12/2013,02:06,Club Leon,Monarcas,4,0,H
Mexico,Liga MX,2013/2014,01/12/2013,23:00,Club America,U.A.N.L.- Tigres,1,1,D
Mexico,Liga MX,2013/2014,02/12/2013,02:00,Santos Laguna,Queretaro,3,1,H
Mexico,Liga MX,2013/2014,06/12/2013,01:00,Toluca,Club America,2,1,H
Mexico,Liga MX,2013/2014,06/12/2013,03:00,Club Leon,Santos Laguna,3,1,H
Mexico,Liga MX,2013/2014,08/12/2013,23:00,Club America,Toluca,2,0,H
Mexico,Liga MX,2013/2014,09/12/2013,02:00,Santos Laguna,Club Leon,2,2,D
Mexico,Liga MX,2013/2014,13/12/2013,02:06,Club Leon,Club America,2,0,H
Mexico,Liga MX,2013/2014,16/12/2013,00:00,Club America,Club Leon,1,3,A
Mexico,Liga MX,2013/2014,04/01/2014,01:30,Monarcas,Queretaro,0,1,A
Mexico,Liga MX,2013/2014,04/01/2014,03:30,Santos Laguna,Guadalajara Chivas,1,1,D
Mexico,Liga MX,2013/2014,04/01/2014,23:00,Club America,U.A.N.L.- Tigres,3,0,H
Mexico,Liga MX,2013/2014,05/01/2014,01:00,Monterrey,Cruz Azul,0,0,D
Mexico,Liga MX,2013/2014,05/01/2014,01:00,Pachuca,Toluca,0,1,A
Mexico,Liga MX,2013/2014,05/01/2014,03:00,Atlas,Club Tijuana,0,0,D
Mexico,Liga MX,2013/2014,05/01/2014,03:00,Chiapas,Veracruz,1,1,D
Mexico,Liga MX,2013/2014,05/01/2014,18:00,U.N.A.M.- Pumas,Puebla,2,2,D
Mexico,Liga MX,2013/2014,05/01/2014,23:00,Atlante,Club Leon,1,1,D
Mexico,Liga MX,2013/2014,11/01/2014,01:30,Queretaro,U.N.A.M.- Pumas,1,0,H
Mexico,Liga MX,2013/2014,11/01/2014,03:30,Club Tijuana,Club America,1,0,H
Mexico,Liga MX,2013/2014,11/01/2014,23:00,Cruz Azul,Santos Laguna,2,1,H
Mexico,Liga MX,2013/2014,11/01/2014,23:00,Veracruz,Atlante,2,1,H
Mexico,Liga MX,2013/2014,12/01/2014,01:00,U.A.N.L.- Tigres,Pachuca,0,0,D
Mexico,Liga MX,2013/2014,12/01/2014,02:06,Club Leon,Atlas,3,1,H
Mexico,Liga MX,2013/2014,12/01/2014,18:00,Puebla,Monterrey,1,1,D
Mexico,Liga MX,2013/2014,12/01/2014,18:00,Toluca,Monarcas,2,2,D
Mexico,Liga MX,2013/2014,12/01/2014,23:00,Guadalajara Chivas,Chiapas,1,0,H
Mexico,Liga MX,2013/2014,18/01/2014,01:30,Monarcas,U.A.N.L.- Tigres,2,0,H
Mexico,Liga MX,2013/2014,18/01/2014,03:30,Santos Laguna,Puebla,0,0,D
Mexico,Liga MX,2013/2014,18/01/2014,23:00,Club America,Club Leon,1,0,H
Mexico,Liga MX,2013/2014,18/01/2014,23:00,Veracruz,Guadalajara Chivas,1,1,D
Mexico,Liga MX,2013/2014,19/01/2014,01:00,Monterrey,Queretaro,3,1,H
Mexico,Liga MX,2013/2014,19/01/2014,01:00,Pachuca,Club Tijuana,2,1,H
Mexico,Liga MX,2013/2014,19/01/2014,03:00,Atlas,Atlante,0,1,A
Mexico,Liga MX,2013/2014,19/01/2014,03:00,Chiapas,Cruz Azul,0,1,A
Mexico,Liga MX,2013/2014,19/01/2014,18:00,U.N.A.M.- Pumas,Toluca,0,2,A
Mexico,Liga MX,2013/2014,25/01/2014,01:30,Queretaro,Santos Laguna,0,0,D
Mexico,Liga MX,2013/2014,25/01/2014,03:30,Club Tijuana,Monarcas,1,0,H
Mexico,Liga MX,2013/2014,25/01/2014,23:00,Cruz Azul,Veracruz,4,0,H
Mexico,Liga MX,2013/2014,26/01/2014,01:00,U.A.N.L.- Tigres,U.N.A.M.- Pumas,1,2,A
Mexico,Liga MX,2013/2014,26/01/2014,02:06,Club Leon,Pachuca,1,3,A
Mexico,Liga MX,2013/2014,26/01/2014,03:00,Atlas,Club America,1,2,A
Mexico,Liga MX,2013/2014,26/01/2014,18:00,Puebla,Chiapas,2,3,A
Mexico,Liga MX,2013/2014,26/01/2014,18:00,Toluca,Monterrey,2,0,H
Mexico,Liga MX,2013/2014,26/01/2014,23:00,Atlante,Guadalajara Chivas,1,1,D
Mexico,Liga MX,2013/2014,01/02/2014,03:30,Monarcas,Club Leon,0,0,D
Mexico,Liga MX,2013/2014,01/02/2014,23:00,Club America,Atlante,1,0,H
